snp_chr,gene_id,minpos,maxpos,myid
14,ENSG00000054983,88459591,88471580,ENSG00000054983
6,ENSG00000055211,149887083,149887083,ENSG00000055211
2,ENSG00000055332,37384167,37384167,ENSG00000055332
1,ENSG00000055732,85514302,85514302,ENSG00000055732
4,ENSG00000056050,170679114,170679114,ENSG00000056050
6,ENSG00000056972,111580469,111580469,ENSG00000056972
10,ENSG00000057608,5861027,5861027,ENSG00000057608
3,ENSG00000058056,179371218,179371218,ENSG00000058056
1,ENSG00000058804,54304098,54304098,ENSG00000058804
4,ENSG00000059691,152682256,152682256,ENSG00000059691
12,ENSG00000060237,751902,751902,ENSG00000060237
12,ENSG00000063046,53400468,53400468,ENSG00000063046
19,ENSG00000064666,1026601,1026601,ENSG00000064666
1,ENSG00000064886,111746499,111765681,ENSG00000064886
6,ENSG00000065060,34759792,34759792,ENSG00000065060
17,ENSG00000065559,11924187,11924187,ENSG00000065559
1,ENSG00000065600,212588299,212588299,ENSG00000065600
12,ENSG00000066084,50898784,50898784,ENSG00000066084
1,ENSG00000067533,218458664,218458664,ENSG00000067533
2,ENSG00000068724,47144904,47144904,ENSG00000068724
5,ENSG00000068796,61601826,61601826,ENSG00000068796
15,ENSG00000069869,56285748,56285748,ENSG00000069869
22,ENSG00000070371,19279495,19279495,ENSG00000070371
19,ENSG00000070404,680543,680543,ENSG00000070404
3,ENSG00000070476,126194831,126194831,ENSG00000070476
17,ENSG00000070540,66508300,66508300,ENSG00000070540
1,ENSG00000070831,22379168,22379168,ENSG00000070831
16,ENSG00000070915,56905246,56905246,ENSG00000070915
2,ENSG00000071967,172370549,172370549,ENSG00000071967
17,ENSG00000073605,38020476,38020476,ENSG00000073605
11,ENSG00000074319,18548370,18548370,ENSG00000074319
15,ENSG00000074696,65822856,65822856,ENSG00000074696
19,ENSG00000074842,4670372,4670372,ENSG00000074842
3,ENSG00000075975,12598522,12598522,ENSG00000075975
2,ENSG00000076003,136633851,136633851,ENSG00000076003
12,ENSG00000076067,56694048,56694048,ENSG00000076067
12,ENSG00000076248,109531340,109531340,ENSG00000076248
1,ENSG00000076356,208305703,208305703,ENSG00000076356
16,ENSG00000077238,27211224,27211224,ENSG00000077238
10,ENSG00000077420,26727652,26736478,ENSG00000077420
18,ENSG00000078142,39535135,39535135,ENSG00000078142
4,ENSG00000078177,40058914,40058914,ENSG00000078177
12,ENSG00000078237,4430336,4430336,ENSG00000078237
6,ENSG00000078401,12290480,12290480,ENSG00000078401
20,ENSG00000078804,33292391,33296982,ENSG00000078804
2,ENSG00000079308,218621432,218621432,ENSG00000079308
2,ENSG00000079785,15731970,15731970,ENSG00000079785
15,ENSG00000081014,51057844,51057844,ENSG00000081014
2,ENSG00000081320,197041108,197041108,ENSG00000081320
5,ENSG00000082074,39264836,39264836,ENSG00000082074
18,ENSG00000082212,48405301,48405301,ENSG00000082212
19,ENSG00000083828,57946767,57946767,ENSG00000083828
1,ENSG00000084636,32165094,32165094,ENSG00000084636
6,ENSG00000085382,105307498,105307498,ENSG00000085382
2,ENSG00000085982,234475334,234475334,ENSG00000085982
16,ENSG00000086504,420606,420606,ENSG00000086504
19,ENSG00000087076,49339198,49339198,ENSG00000087076
16,ENSG00000087237,56965600,57005344,ENSG00000087237
12,ENSG00000087470,32834551,32834551,ENSG00000087470
1,ENSG00000088035,63833344,63833344,ENSG00000088035
13,ENSG00000088451,95254148,95254148,ENSG00000088451
20,ENSG00000088812,3451197,3451197,ENSG00000088812
20,ENSG00000088826,4093778,4093778,ENSG00000088826
20,ENSG00000088832,1305956,1305956,ENSG00000088832
20,ENSG00000088833,1447556,1447556,ENSG00000088833
12,ENSG00000089041,121566961,121566961,ENSG00000089041
12,ENSG00000089127,113418782,113418782,ENSG00000089127
20,ENSG00000089177,16554216,16554216,ENSG00000089177
14,ENSG00000089902,103230696,103230696,ENSG00000089902
9,ENSG00000090054,94877716,94877716,ENSG00000090054
12,ENSG00000090376,66585060,66590736,ENSG00000090376
1,ENSG00000090432,20834694,20834694,ENSG00000090432
15,ENSG00000090487,65282227,65282227,ENSG00000090487
1,ENSG00000090686,22118230,22118230,ENSG00000090686
2,ENSG00000091436,173940596,173940596,ENSG00000091436
17,ENSG00000091622,6451958,6451958,ENSG00000091622
17,ENSG00000092871,33307433,33308213,ENSG00000092871
6,ENSG00000093144,127664630,127664630,ENSG00000093144
9,ENSG00000095209,108456880,108456880,ENSG00000095209
6,ENSG00000096063,35995456,35995456,ENSG00000096063
10,ENSG00000096717,69644508,69644508,ENSG00000096717
19,ENSG00000099326,59084568,59084568,ENSG00000099326
16,ENSG00000099365,31880105,31880105,ENSG00000099365
19,ENSG00000099785,8478056,8478056,ENSG00000099785
19,ENSG00000099795,14682836,14682836,ENSG00000099795
19,ENSG00000099822,584614,588274,ENSG00000099822
22,ENSG00000099994,24574629,24585814,ENSG00000099994
22,ENSG00000100056,19132262,19132262,ENSG00000100056
22,ENSG00000100075,19166233,19166233,ENSG00000100075
22,ENSG00000100243,43045584,43045584,ENSG00000100243
22,ENSG00000100299,51060108,51066607,ENSG00000100299
22,ENSG00000100321,39739697,39795758,ENSG00000100321
22,ENSG00000100364,45631389,45645262,ENSG00000100364
22,ENSG00000100365,37252590,37257208,ENSG00000100365
22,ENSG00000100376,45705705,45705705,ENSG00000100376
22,ENSG00000100413,41940319,41940319,ENSG00000100413
14,ENSG00000100473,31343712,31343712,ENSG00000100473
14,ENSG00000100526,54863609,54863609,ENSG00000100526
14,ENSG00000100564,68066990,68066990,ENSG00000100564
14,ENSG00000100592,59655392,59655392,ENSG00000100592
14,ENSG00000100599,92982627,92982627,ENSG00000100599
14,ENSG00000100612,60632126,60632126,ENSG00000100612
14,ENSG00000100625,62162082,62162082,ENSG00000100625
14,ENSG00000100714,64970471,64970471,ENSG00000100714
20,ENSG00000100979,44441298,44441298,ENSG00000100979
20,ENSG00000101003,25388282,25388282,ENSG00000101003
20,ENSG00000101057,42286166,42295592,ENSG00000101057
20,ENSG00000101104,43540204,43540204,ENSG00000101104
20,ENSG00000101158,57556352,57556352,ENSG00000101158
20,ENSG00000101190,61493434,61493434,ENSG00000101190
20,ENSG00000101236,3996226,3996226,ENSG00000101236
18,ENSG00000101596,2641068,2641068,ENSG00000101596
18,ENSG00000101605,3246180,3247521,ENSG00000101605
18,ENSG00000101751,51796754,51796754,ENSG00000101751
13,ENSG00000102595,96705646,96705646,ENSG00000102595
13,ENSG00000102743,41363567,41363567,ENSG00000102743
13,ENSG00000102753,50366924,50366924,ENSG00000102753
16,ENSG00000102893,48192446,48192446,ENSG00000102893
16,ENSG00000103037,58549929,58549929,ENSG00000103037
16,ENSG00000103056,68479552,68479552,ENSG00000103056
16,ENSG00000103168,84209052,84209052,ENSG00000103168
16,ENSG00000103187,84627303,84627303,ENSG00000103187
16,ENSG00000103199,4818755,4818755,ENSG00000103199
16,ENSG00000103245,783867,783867,ENSG00000103245
16,ENSG00000103260,765019,765019,ENSG00000103260
16,ENSG00000103415,4524685,4526384,ENSG00000103415
16,ENSG00000103479,53468687,53468687,ENSG00000103479
15,ENSG00000104093,51912976,51912976,ENSG00000104093
8,ENSG00000104213,17434550,17434550,ENSG00000104213
8,ENSG00000104219,17010059,17014644,ENSG00000104219
8,ENSG00000104361,99305542,99305542,ENSG00000104361
8,ENSG00000104427,79428431,79428431,ENSG00000104427
8,ENSG00000104442,66546482,66546482,ENSG00000104442
8,ENSG00000104497,82754426,82754426,ENSG00000104497
19,ENSG00000104823,39322360,39322360,ENSG00000104823
19,ENSG00000105245,41193656,41197230,ENSG00000105245
19,ENSG00000105298,3626952,3626952,ENSG00000105298
19,ENSG00000105497,52074440,52074440,ENSG00000105497
19,ENSG00000105656,18633168,18633168,ENSG00000105656
19,ENSG00000105695,35787024,35787024,ENSG00000105695
19,ENSG00000105755,44008518,44079778,ENSG00000105755
7,ENSG00000105854,95060327,95060327,ENSG00000105854
7,ENSG00000105887,135665702,135665702,ENSG00000105887
7,ENSG00000106049,27702604,27702604,ENSG00000106049
7,ENSG00000106100,30518448,30518448,ENSG00000106100
7,ENSG00000106366,100769678,100769678,ENSG00000106366
7,ENSG00000106367,100787477,100787477,ENSG00000106367
7,ENSG00000106603,43760999,43850336,ENSG00000106603
9,ENSG00000106780,123476849,123476849,ENSG00000106780
9,ENSG00000106789,100955274,100955274,ENSG00000106789
9,ENSG00000106868,115096043,115096043,ENSG00000106868
9,ENSG00000106991,130331158,130331158,ENSG00000106991
10,ENSG00000107554,101698562,101698562,ENSG00000107554
10,ENSG00000107614,17243674,17243674,ENSG00000107614
10,ENSG00000107679,124134108,124134108,ENSG00000107679
10,ENSG00000107719,72237654,72237654,ENSG00000107719
10,ENSG00000107738,73529434,73529434,ENSG00000107738
10,ENSG00000107771,86077064,86090047,ENSG00000107771
10,ENSG00000107796,90755017,90755017,ENSG00000107796
10,ENSG00000107902,126150546,126150546,ENSG00000107902
10,ENSG00000107959,3215226,3215226,ENSG00000107959
10,ENSG00000107960,105677654,105677654,ENSG00000107960
10,ENSG00000107968,30777416,30777416,ENSG00000107968
10,ENSG00000108010,131934657,131934657,ENSG00000108010
10,ENSG00000108094,35529106,35529106,ENSG00000108094
17,ENSG00000108278,34842394,34842394,ENSG00000108278
17,ENSG00000108352,38269618,38269618,ENSG00000108352
17,ENSG00000108375,56415376,56421855,ENSG00000108375
17,ENSG00000108406,57642858,57642858,ENSG00000108406
17,ENSG00000108651,30228755,30228755,ENSG00000108651
17,ENSG00000108771,40264865,40264865,ENSG00000108771
17,ENSG00000108852,41987723,41987723,ENSG00000108852
17,ENSG00000109084,26646136,26646136,ENSG00000109084
4,ENSG00000109445,142142390,142142390,ENSG00000109445
4,ENSG00000109519,7069909,7069909,ENSG00000109519
4,ENSG00000109674,178231004,178231004,ENSG00000109674
11,ENSG00000110047,64618738,64618738,ENSG00000110047
11,ENSG00000110171,6502564,6502564,ENSG00000110171
11,ENSG00000110218,93861803,93861803,ENSG00000110218
11,ENSG00000110328,11642652,11643699,ENSG00000110328
11,ENSG00000110435,34938063,34938063,ENSG00000110435
12,ENSG00000110851,108155034,108155034,ENSG00000110851
12,ENSG00000111245,111351431,111351431,ENSG00000111245
12,ENSG00000111331,113418782,113418782,ENSG00000111331
12,ENSG00000111671,6976960,6976960,ENSG00000111671
6,ENSG00000111885,119469904,119469904,ENSG00000111885
6,ENSG00000111906,125623284,125623284,ENSG00000111906
6,ENSG00000112081,36562186,36562186,ENSG00000112081
6,ENSG00000112096,160183160,160183160,ENSG00000112096
6,ENSG00000112139,37673452,37673452,ENSG00000112139
6,ENSG00000112210,56820126,56820126,ENSG00000112210
6,ENSG00000112218,97285218,97285218,ENSG00000112218
6,ENSG00000112308,24721486,24721486,ENSG00000112308
6,ENSG00000112763,26365757,26365757,ENSG00000112763
6,ENSG00000112799,6589004,6589004,ENSG00000112799
5,ENSG00000112874,102898432,102898432,ENSG00000112874
5,ENSG00000112893,109024460,109025052,ENSG00000112893
5,ENSG00000113070,139726450,139726450,ENSG00000113070
5,ENSG00000113356,89769756,89769756,ENSG00000113356
5,ENSG00000113494,35238037,35238037,ENSG00000113494
5,ENSG00000113638,40755289,40755289,ENSG00000113638
5,ENSG00000113721,149539577,149539577,ENSG00000113721
5,ENSG00000113758,176899494,176899494,ENSG00000113758
3,ENSG00000114013,122103090,122103090,ENSG00000114013
3,ENSG00000114054,135915212,135915212,ENSG00000114054
3,ENSG00000114107,138553384,138634912,ENSG00000114107
3,ENSG00000114120,140660639,140660639,ENSG00000114120
3,ENSG00000114354,100428218,100428218,ENSG00000114354
3,ENSG00000114395,50388367,50388367,ENSG00000114395
2,ENSG00000115138,25384496,25384496,ENSG00000115138
2,ENSG00000115318,74692497,74699848,ENSG00000115318
2,ENSG00000115750,9983743,9983743,ENSG00000115750
2,ENSG00000115902,65142296,65159968,ENSG00000115902
2,ENSG00000116127,73613363,73613363,ENSG00000116127
1,ENSG00000116199,178996504,178996504,ENSG00000116199
1,ENSG00000116288,8021894,8021894,ENSG00000116288
1,ENSG00000116406,184716646,184716646,ENSG00000116406
1,ENSG00000116981,40138499,40138499,ENSG00000116981
1,ENSG00000116983,40157120,40157120,ENSG00000116983
1,ENSG00000117133,84945104,84946513,ENSG00000117133
1,ENSG00000117153,202896230,202896230,ENSG00000117153
1,ENSG00000117335,207925386,207925386,ENSG00000117335
1,ENSG00000117481,46808041,46813958,ENSG00000117481
1,ENSG00000117597,210001440,210001440,ENSG00000117597
1,ENSG00000117748,28241198,28241198,ENSG00000117748
1,ENSG00000118197,200638880,200638880,ENSG00000118197
1,ENSG00000118200,200597569,200597569,ENSG00000118200
2,ENSG00000118257,206544888,206544888,ENSG00000118257
6,ENSG00000118689,108879794,108879794,ENSG00000118689
3,ENSG00000119227,196669471,196692139,ENSG00000119227
9,ENSG00000119314,115096043,115096043,ENSG00000119314
9,ENSG00000119392,131267019,131267019,ENSG00000119392
9,ENSG00000119431,116139184,116143326,ENSG00000119431
9,ENSG00000119471,115142108,115142108,ENSG00000119471
9,ENSG00000119514,101569994,101569994,ENSG00000119514
14,ENSG00000119599,73393124,73393802,ENSG00000119599
14,ENSG00000119640,75469506,75536228,ENSG00000119640
14,ENSG00000119669,77425876,77425876,ENSG00000119669
14,ENSG00000119699,76448895,76448895,ENSG00000119699
10,ENSG00000119977,97592209,97592209,ENSG00000119977
6,ENSG00000120437,160183160,160183160,ENSG00000120437
13,ENSG00000120659,42952000,42952000,ENSG00000120659
13,ENSG00000120675,43597806,43597806,ENSG00000120675
13,ENSG00000120686,38924047,38924047,ENSG00000120686
8,ENSG00000120885,27323314,27323314,ENSG00000120885
13,ENSG00000122034,27998815,27998815,ENSG00000122034
1,ENSG00000122223,160804950,160804950,ENSG00000122223
7,ENSG00000122643,33102466,33102466,ENSG00000122643
7,ENSG00000122783,134855610,134855610,ENSG00000122783
10,ENSG00000122912,70287321,70287321,ENSG00000122912
12,ENSG00000122986,111180792,111180792,ENSG00000122986
12,ENSG00000123104,26986196,26986196,ENSG00000123104
13,ENSG00000123178,50510534,50510534,ENSG00000123178
13,ENSG00000123179,50265630,50265630,ENSG00000123179
12,ENSG00000123297,58176525,58176525,ENSG00000123297
1,ENSG00000123685,212732339,212732339,ENSG00000123685
20,ENSG00000124171,49347914,49347914,ENSG00000124171
20,ENSG00000124216,48595693,48595693,ENSG00000124216
2,ENSG00000124380,70121072,70121072,ENSG00000124380
6,ENSG00000124496,42475156,42475156,ENSG00000124496
6,ENSG00000124508,26464455,26464455,ENSG00000124508
6,ENSG00000124523,13574724,13574724,ENSG00000124523
6,ENSG00000124532,24403110,24403110,ENSG00000124532
6,ENSG00000124535,2765384,2765384,ENSG00000124535
6,ENSG00000124587,42931752,42947000,ENSG00000124587
6,ENSG00000124713,42931752,42947000,ENSG00000124713
6,ENSG00000124787,5004038,5004038,ENSG00000124787
16,ENSG00000125124,56553930,56642360,ENSG00000125124
16,ENSG00000125148,56763002,56763002,ENSG00000125148
13,ENSG00000125247,101327330,101327330,ENSG00000125247
17,ENSG00000125445,73401950,73401950,ENSG00000125445
17,ENSG00000125450,73197988,73201568,ENSG00000125450
2,ENSG00000125629,118845899,118845899,ENSG00000125629
2,ENSG00000125637,113837850,113837850,ENSG00000125637
1,ENSG00000125703,63252897,63252897,ENSG00000125703
19,ENSG00000125753,45982074,45982074,ENSG00000125753
20,ENSG00000125821,18568980,18568980,ENSG00000125821
20,ENSG00000125835,2450900,2450900,ENSG00000125835
20,ENSG00000125877,3190236,3190236,ENSG00000125877
20,ENSG00000125898,814312,814312,ENSG00000125898
19,ENSG00000126266,35760636,35843840,ENSG00000126266
17,ENSG00000126858,30469463,30469463,ENSG00000126858
12,ENSG00000127337,69753811,69753811,ENSG00000127337
7,ENSG00000127366,141438140,141438140,ENSG00000127366
19,ENSG00000127533,16999684,16999684,ENSG00000127533
17,ENSG00000127804,2415106,2415106,ENSG00000127804
7,ENSG00000127951,76876723,76876723,ENSG00000127951
7,ENSG00000127995,94139330,94139330,ENSG00000127995
22,ENSG00000128274,43112954,43112954,ENSG00000128274
7,ENSG00000128591,128826527,128826527,ENSG00000128591
2,ENSG00000128654,177134302,177134302,ENSG00000128654
15,ENSG00000128891,40857298,40859548,ENSG00000128891
7,ENSG00000129103,56174222,56174222,ENSG00000129103
5,ENSG00000129625,112258008,112258008,ENSG00000129625
13,ENSG00000130177,115000294,115000294,ENSG00000130177
6,ENSG00000130363,159420897,159420897,ENSG00000130363
2,ENSG00000130414,240964828,240964828,ENSG00000130414
20,ENSG00000130684,25604582,25604582,ENSG00000130684
1,ENSG00000130695,26560676,26560676,ENSG00000130695
1,ENSG00000130764,3713100,3713100,ENSG00000130764
1,ENSG00000130775,28199743,28199743,ENSG00000130775
19,ENSG00000130812,10340842,10340842,ENSG00000130812
19,ENSG00000130844,54024226,54024226,ENSG00000130844
12,ENSG00000130921,123722811,123722811,ENSG00000130921
6,ENSG00000131013,150039188,150039188,ENSG00000131013
3,ENSG00000131378,16414157,16414157,ENSG00000131378
19,ENSG00000131398,50836874,50848190,ENSG00000131398
5,ENSG00000131507,141489750,141489750,ENSG00000131507
17,ENSG00000131759,38375521,38375521,ENSG00000131759
5,ENSG00000131844,70751730,70751730,ENSG00000131844
15,ENSG00000131873,101708168,101708168,ENSG00000131873
17,ENSG00000131899,18128746,18128746,ENSG00000131899
1,ENSG00000132185,161676759,161676759,ENSG00000132185
11,ENSG00000132274,5710986,5710986,ENSG00000132274
17,ENSG00000132386,1933425,1933425,ENSG00000132386
6,ENSG00000132423,99841972,99841972,ENSG00000132423
17,ENSG00000132507,7210816,7210816,ENSG00000132507
1,ENSG00000132781,45452302,45452302,ENSG00000132781
13,ENSG00000132964,26796298,26796298,ENSG00000132964
17,ENSG00000133030,16945584,16945584,ENSG00000133030
1,ENSG00000133056,204400645,204400645,ENSG00000133056
13,ENSG00000133101,36920803,36994702,ENSG00000133101
17,ENSG00000133195,71088839,71088839,ENSG00000133195
18,ENSG00000133313,72163673,72168279,ENSG00000133313
22,ENSG00000133466,37596768,37596768,ENSG00000133466
5,ENSG00000133706,145562253,145562253,ENSG00000133706
8,ENSG00000133739,86375554,86375554,ENSG00000133739
11,ENSG00000133794,13299096,13301841,ENSG00000133794
14,ENSG00000133985,71104446,71108156,ENSG00000133985
5,ENSG00000134056,68513604,68513604,ENSG00000134056
5,ENSG00000134058,68513604,68513604,ENSG00000134058
1,ENSG00000134242,112938763,112938763,ENSG00000134242
1,ENSG00000134245,113247840,113247840,ENSG00000134245
18,ENSG00000134265,10526425,10526425,ENSG00000134265
1,ENSG00000134709,60280380,60280380,ENSG00000134709
11,ENSG00000134955,124942564,124942564,ENSG00000134955
9,ENSG00000135002,79009422,79009422,ENSG00000135002
9,ENSG00000135046,75762746,75762746,ENSG00000135046
12,ENSG00000135124,121566961,121648034,ENSG00000135124
7,ENSG00000135249,105162671,105162671,ENSG00000135249
6,ENSG00000135318,86159236,86159236,ENSG00000135318
12,ENSG00000135390,54069828,54069828,ENSG00000135390
1,ENSG00000135821,182116464,182116464,ENSG00000135821
2,ENSG00000135926,219155779,219155779,ENSG00000135926
2,ENSG00000135932,231533444,231533444,ENSG00000135932
12,ENSG00000136003,108956296,108956296,ENSG00000136003
12,ENSG00000136010,105478278,105478278,ENSG00000136010
13,ENSG00000136098,52586308,52586308,ENSG00000136098
13,ENSG00000136108,53024362,53024362,ENSG00000136108
7,ENSG00000136237,22390714,22390714,ENSG00000136237
7,ENSG00000136270,45026306,45026306,ENSG00000136270
7,ENSG00000136273,48128435,48128435,ENSG00000136273
17,ENSG00000136436,46908374,46908374,ENSG00000136436
8,ENSG00000136573,11395546,11416342,ENSG00000136573
1,ENSG00000136643,212965190,212965190,ENSG00000136643
2,ENSG00000136689,113837850,113837850,ENSG00000136689
2,ENSG00000136709,128458341,128458341,ENSG00000136709
9,ENSG00000136810,113020534,113020534,ENSG00000136810
9,ENSG00000136811,131218353,131218353,ENSG00000136811
9,ENSG00000136824,106854232,106856378,ENSG00000136824
9,ENSG00000136908,130700156,130700156,ENSG00000136908
9,ENSG00000136935,127703324,127703324,ENSG00000136935
8,ENSG00000136982,120867029,120867029,ENSG00000136982
9,ENSG00000137154,19380238,19380238,ENSG00000137154
6,ENSG00000137168,36853646,36853646,ENSG00000137168
6,ENSG00000137267,3157817,3157817,ENSG00000137267
6,ENSG00000137274,3118824,3118824,ENSG00000137274
6,ENSG00000137414,17600559,17600559,ENSG00000137414
11,ENSG00000137501,85566100,85566100,ENSG00000137501
11,ENSG00000137513,78285856,78285856,ENSG00000137513
8,ENSG00000137547,55047798,55047798,ENSG00000137547
11,ENSG00000137714,110304677,110304677,ENSG00000137714
15,ENSG00000137875,52401834,52401834,ENSG00000137875
15,ENSG00000137876,55489122,55489122,ENSG00000137876
2,ENSG00000138028,27357597,27357597,ENSG00000138028
2,ENSG00000138031,25143512,25143512,ENSG00000138031
10,ENSG00000138107,104263675,104263675,ENSG00000138107
10,ENSG00000138346,70092460,70166912,ENSG00000138346
2,ENSG00000138363,216176780,216176780,ENSG00000138363
2,ENSG00000138378,192015060,192015060,ENSG00000138378
2,ENSG00000138399,170430448,170440773,ENSG00000138399
3,ENSG00000138468,101099064,101099064,ENSG00000138468
15,ENSG00000138592,50716516,50716516,ENSG00000138592
15,ENSG00000138621,75315912,75315912,ENSG00000138621
4,ENSG00000138639,86529001,86529001,ENSG00000138639
4,ENSG00000138744,76912120,76912120,ENSG00000138744
4,ENSG00000138780,106629892,106629892,ENSG00000138780
4,ENSG00000138796,108911000,108911000,ENSG00000138796
4,ENSG00000138801,108641524,108641524,ENSG00000138801
9,ENSG00000138835,116341382,116341382,ENSG00000138835
12,ENSG00000139190,6580064,6602455,ENSG00000139190
12,ENSG00000139193,6552873,6552873,ENSG00000139193
12,ENSG00000139370,129294900,129305555,ENSG00000139370
13,ENSG00000139508,29293056,29293056,ENSG00000139508
13,ENSG00000139514,30168935,30169986,ENSG00000139514
12,ENSG00000139531,56435694,56435694,ENSG00000139531
12,ENSG00000139620,49075942,49075942,ENSG00000139620
14,ENSG00000139899,24901071,24901071,ENSG00000139899
14,ENSG00000139921,51709428,51709428,ENSG00000139921
14,ENSG00000139990,69618543,69618543,ENSG00000139990
14,ENSG00000140030,88459591,88459591,ENSG00000140030
15,ENSG00000140368,77281015,77281015,ENSG00000140368
15,ENSG00000140416,63340498,63341056,ENSG00000140416
15,ENSG00000140474,75135404,75135404,ENSG00000140474
15,ENSG00000140497,75165454,75165454,ENSG00000140497
15,ENSG00000140525,89787386,89787386,ENSG00000140525
16,ENSG00000140905,81110344,81129947,ENSG00000140905
16,ENSG00000140931,66583708,66583708,ENSG00000140931
17,ENSG00000141295,45920604,45973543,ENSG00000141295
17,ENSG00000141314,30603392,30603392,ENSG00000141314
18,ENSG00000141428,33552440,33552440,ENSG00000141428
18,ENSG00000141452,21083381,21083381,ENSG00000141452
18,ENSG00000141664,60193764,60193764,ENSG00000141664
17,ENSG00000141720,36956022,36956022,ENSG00000141720
1,ENSG00000142224,206944081,206944081,ENSG00000142224
19,ENSG00000142453,10982017,10982017,ENSG00000142453
1,ENSG00000142621,15575788,15575788,ENSG00000142621
1,ENSG00000142632,16533209,16543958,ENSG00000142632
1,ENSG00000142686,36184514,36184514,ENSG00000142686
1,ENSG00000143079,112938763,112938763,ENSG00000143079
1,ENSG00000143110,112019662,112019662,ENSG00000143110
1,ENSG00000143149,165667656,165667656,ENSG00000143149
1,ENSG00000143157,166134328,166134328,ENSG00000143157
1,ENSG00000143195,166938550,166944824,ENSG00000143195
1,ENSG00000143314,156698392,156698392,ENSG00000143314
1,ENSG00000143369,150488023,150488023,ENSG00000143369
1,ENSG00000143387,150536042,150536042,ENSG00000143387
1,ENSG00000143554,153895494,153895494,ENSG00000143554
1,ENSG00000143614,153893016,153893016,ENSG00000143614
2,ENSG00000143797,9143961,9143961,ENSG00000143797
2,ENSG00000144118,120517314,120517314,ENSG00000144118
2,ENSG00000144120,120436666,120436666,ENSG00000144120
3,ENSG00000144559,11888388,11888388,ENSG00000144559
3,ENSG00000144642,29322427,29325435,ENSG00000144642
3,ENSG00000144655,39268096,39268096,ENSG00000144655
3,ENSG00000144791,45596002,45596002,ENSG00000144791
3,ENSG00000144815,101498010,101498010,ENSG00000144815
3,ENSG00000144827,111697838,111697838,ENSG00000144827
3,ENSG00000144837,119319732,119319732,ENSG00000144837
4,ENSG00000145241,68411212,68411212,ENSG00000145241
4,ENSG00000145386,122745138,122745138,ENSG00000145386
4,ENSG00000145425,152020773,152020773,ENSG00000145425
5,ENSG00000145687,81047075,81047075,ENSG00000145687
5,ENSG00000145730,102091034,102091034,ENSG00000145730
5,ENSG00000145743,107718004,107718004,ENSG00000145743
5,ENSG00000146054,180626320,180626320,ENSG00000146054
6,ENSG00000146109,27114892,27114892,ENSG00000146109
6,ENSG00000146281,89854162,89854162,ENSG00000146281
7,ENSG00000146535,2884134,2884134,ENSG00000146535
7,ENSG00000146833,99717066,99728783,ENSG00000146833
8,ENSG00000147324,8646657,8646657,ENSG00000147324
9,ENSG00000148175,124132835,124132835,ENSG00000148175
9,ENSG00000148218,116163627,116163627,ENSG00000148218
9,ENSG00000148219,119449564,119449564,ENSG00000148219
10,ENSG00000148600,85954258,85954258,ENSG00000148600
10,ENSG00000148690,95462342,95462342,ENSG00000148690
10,ENSG00000148840,103892916,103892916,ENSG00000148840
10,ENSG00000148908,121301221,121301221,ENSG00000148908
11,ENSG00000148925,13484830,13484830,ENSG00000148925
11,ENSG00000149089,34938063,34938063,ENSG00000149089
11,ENSG00000149218,94822956,94822956,ENSG00000149218
11,ENSG00000149260,76777919,76777919,ENSG00000149260
11,ENSG00000149262,77531917,77531917,ENSG00000149262
